Date,Slug,Usage,BYOK Usage,Requests,Prompt Tokens,Completion Tokens,Reasoning Tokens
"2026-01-01","meta-llama/llama-4-maverick","0.003914","0","40","1235","5272","0"
"2026-01-01","nvidia/nemotron-3-nano-30b-a3b:free","0","0","7","1591","7004","1582"
"2026-01-01","openai/gpt-5","0.09973","0","40","1020","9847","8951"
"2026-01-01","google/gemma-2-9b-it","0.00001","0","3","258","39","0"
"2026-01-01","google/gemini-3-flash-preview","5.273699","0","278","20177796","60894","21623"
"2026-01-01","deepseek/deepseek-r1-distill-llama-70b","0.021843","0","40","803","18246","15301"
"2026-01-01","anthropic/claude-haiku-4.5","0.014631","0","40","946","2737","0"
"2026-01-01","mistralai/codestral-2508","1.471354","0","886","2423711","827392","0"
"2026-01-01","google/gemma-3n-e4b-it","0.001537","0","298","17316","33664","0"
"2026-01-01","google/gemma-3-27b-it:free","0","0","6","1198","2686","0"
"2026-01-01","deepseek/deepseek-chat","0.007714","0","28","2213","5971","0"
"2026-01-01","deepseek/deepseek-r1-0528:free","0","0","47","2662","26401","18852"
"2026-01-01","google/gemini-2.5-flash","0.071781","0","200","3848","28283","0"
"2026-01-01","mistralai/mistral-small-3.2-24b-instruct","0.002086","0","40","853","4680","0"
"2026-01-01","deepseek/deepseek-r1-0528-qwen3-8b","0.002021","0","39","823","22085","18321"
"2026-01-01","meta-llama/llama-3.3-70b-instruct:free","0","0","51","42800","38868","0"
"2026-01-01","qwen/qwen3-next-80b-a3b-instruct","0.005985","0","40","1161","4974","0"
"2026-01-01","qwen/qwen-2.5-7b-instruct","0.000059","0","25","1388","76","0"
"2026-01-01","x-ai/grok-3","0.063605","0","40","1019","4053","0"
"2026-01-01","meta-llama/llama-4-scout","0.001946","0","40","1228","3961","0"
"2026-01-01","google/gemini-2.0-flash-001","0.004425","0","8","5518","6475","0"
"2026-01-01","meta-llama/llama-3.2-3b-instruct","0.000264","0","25","1436","866","0"
"2026-01-01","cohere/command-r7b-12-2024","0.000603","0","22","829","3902","0"
"2026-01-01","qwen/qwen3-30b-a3b-thinking-2507","0.007909","0","40","1207","23054","16547"
"2026-01-01","google/gemma-3-4b-it","0.001594","0","212","8323","16824","0"
"2026-01-01","mistralai/mistral-nemo","0.00052","0","154","6172","6050","0"
"2026-01-01","mistralai/mistral-7b-instruct","0.000181","0","25","1341","1945","0"
"2026-01-01","qwen/qwen3-coder:free","0","0","5","2068","769","0"
"2026-01-01","openai/gpt-5-nano","0.023421","0","120","3704","58230","55104"
"2026-01-01","nousresearch/hermes-3-llama-3.1-405b:free","0","0","7","3459","1781","0"
"2026-01-01","google/gemma-3-12b-it","0.001835","0","40","1142","6019","0"
"2026-01-01","google/gemma-3-27b-it","0.00179","0","41","1176","6112","0"
"2026-01-01","x-ai/grok-4.1-fast","0.013464","0","80","13720","25064","18179"
"2026-01-01","qwen/qwen3-8b","0.003868","0","40","1201","27354","22133"
"2026-01-01","openai/gpt-4o-mini","0.008599","0","240","6682","12858","0"
"2026-01-01","deepseek/deepseek-chat-v3.1","0.039913","0","240","6150","39104","0"
"2026-01-01","mistralai/mistral-small-3.1-24b-instruct","0.002839","0","40","853","4576","0"
"2026-01-01","deepseek/deepseek-v3.2","0.004358","0","40","742","6633","1510"
"2026-01-01","openai/gpt-4.1-nano","0","0","40","646","0","0"
"2026-01-01","google/gemini-2.5-pro","0.224789","0","40","638","22401","21312"
"2026-01-01","anthropic/claude-3.5-haiku","0.071283","0","240","6714","16503","0"
"2026-01-01","mistralai/mistral-small-3.1-24b-instruct:free","0","0","7","4109","2475","0"
"2026-01-01","qwen/qwen3-coder-30b-a3b-instruct","0.00091","0","40","1161","2954","0"
"2026-01-01","qwen/qwen3-32b","0.009516","0","40","1191","25120","19627"
"2026-01-01","meta-llama/llama-3.3-70b-instruct","0.005363","0","120","3938","9159","0"
"2026-01-01","x-ai/grok-4-fast","0.005089","0","40","6708","9260","6949"
"2026-01-01","google/gemini-2.0-flash-exp:free","0","0","20","13760","16886","0"
"2026-01-01","meta-llama/llama-3.1-8b-instruct","0.000244","0","43","1591","2859","0"
"2026-01-01","openai/gpt-oss-20b","0.009688","0","267","32134","66614","51689"
"2026-01-01","mistralai/mistral-medium-3.1","0.038106","0","120","2559","18564","0"
"2026-01-01","qwen/qwen3-14b","0.015022","0","120","3603","61824","45544"
"2026-01-01","openai/gpt-5-mini","0.066878","0","120","3704","32998","26707"
"2025-12-01","openai/text-embedding-3-small","0.057573","0","5068","3009644","0","0"
"2025-12-01","deepseek/deepseek-chat-v3-0324","0.000005","0","1","17","2","0"
"2025-12-01","baai/bge-base-en-v1.5","0.000034","0","14","7101","0","0"
"2025-12-01","x-ai/grok-4.1-fast:free","0","0","297","417277","366060","216911"
"2025-12-01","mistralai/codestral-2508","0.148467","0","96","149996","115010","0"
"2025-12-01","deepseek/deepseek-v3.2","2.290053","0","188","7770839","35719","9558"
"2025-12-01","mistralai/devstral-small","0.000075","0","2","129","220","0"
"2025-12-01","amazon/nova-2-lite-v1:free","0","0","3","341","370","0"
"2025-12-01","z-ai/glm-4.5-air:free","0","0","1","18","50","53"
"2025-12-01","openai/gpt-4o","0.133466","0","33","24451","7235","0"
"2025-12-01","qwen/qwen3-embedding-4b","0.00008","0","7","4083","0","0"
"2025-12-01","nex-agi/deepseek-v3.1-nex-n1:free","0","0","10","6113","741","0"
"2025-12-01","google/gemini-2.5-flash-preview-09-2025","0.00289","0","10","223","1131","0"
"2025-12-01","google/gemini-2.0-flash-exp:free","0","0","1","15","8","0"
"2025-12-01","openai/text-embedding-3-large","0.001161","0","21","9025","0","0"
"2025-12-01","intfloat/e5-large-v2","0.000069","0","14","7101","0","0"
"2025-12-01","qwen/qwen3-embedding-8b","0.257281","0","27751","24892166","0","0"
"2025-12-01","mistralai/devstral-2512:free","0","0","13","315","766","0"
"2025-12-01","google/gemini-2.0-flash-001","0.025819","0","50","70653","38787","0"
"2025-12-01","anthropic/claude-3.5-sonnet","0.04485","0","3","3280","839","0"
"2025-12-01","anthropic/claude-sonnet-4","0.000141","0","1","22","5","0"
"2025-12-01","baai/bge-large-en-v1.5","0.000069","0","14","7101","0","0"
"2025-12-01","deepseek/deepseek-v3.2-speciale","0.000421","0","8","193","880","822"
"2025-12-01","openai/gpt-oss-120b","0.000701","0","14","1200","1833","750"
"2025-12-01","z-ai/glm-4.6v","0.000742","0","5","156","780","710"
"2025-12-01","meta-llama/llama-3.3-70b-instruct","0.000365","0","13","429","602","0"
"2025-12-01","minimax/minimax-m2","0.002697","0","4","288","2456","2442"
"2025-12-01","x-ai/grok-4.1-fast","0.510483","0","90","3655162","68452","42191"
"2025-12-01","x-ai/grok-4-fast","0.000423","0","3","363","367","347"
"2025-12-01","google/gemini-embedding-001","0.000349","0","7","2346","0","0"
"2025-12-01","qwen/qwen3-235b-a22b-2507","0.00041","0","10","297","714","0"
"2025-12-01","google/gemini-2.5-flash-lite-preview-09-2025","0.00045","0","10","220","1080","0"
"2025-12-01","x-ai/grok-code-fast-1","0.001274","0","3","777","816","559"
"2025-12-01","baai/bge-m3","0.000036","0","7","3760","0","0"
"2025-12-01","openai/gpt-5-mini","0.001217","0","5","156","590","512"
"2025-12-01","google/gemini-2.5-flash-lite","0.000111","0","4","206","232","0"
"2025-12-01","deepseek/deepseek-chat","0.000149","0","1","191","99","0"
"2025-12-01","mistralai/mistral-embed-2312","0.000455","0","7","4581","0","0"
"2025-12-01","z-ai/glm-4.6","0.003074","0","2","134","1726","1743"
"2025-12-01","thenlper/gte-large","0.000129","0","78","15796","0","0"
"2025-12-01","openai/gpt-4o-mini","0.088653","0","456","361748","60527","0"
"2025-12-01","mistralai/codestral-embed-2505","0.000626","0","7","4196","0","0"
"2025-12-01","google/gemini-2.5-flash","0.000511","0","2","124","190","0"
"2025-12-01","mistralai/mistral-nemo","0.000033","0","13","346","807","0"
"2025-12-01","intfloat/multilingual-e5-large","0.000031","0","7","3284","0","0"
"2025-12-01","meta-llama/llama-3.3-70b-instruct:free","0","0","7","2254","24","0"
"2025-12-01","qwen/qwen3-32b","0.000017","0","1","24","50","54"
"2025-11-01","openai/text-embedding-3-small","0.569048","0","16317","28845793","0","0"
"2025-11-01","qwen/qwen3-coder-30b-a3b-instruct","0.036255","0","66","220342","73211","0"
"2025-11-01","openai/text-embedding-ada-002","0.000412","0","5","4142","0","0"
"2025-11-01","meta-llama/llama-3.3-70b-instruct","0.043362","0","97","193299","15476","0"
"2025-11-01","x-ai/grok-4.1-fast:free","0","0","234","623119","401099","274183"
"2025-11-01","qwen/qwen3-235b-a22b-2507","0.095607","0","205","549190","27743","0"
"2025-11-01","openai/gpt-oss-120b","1.986401","0","6977","2590613","4110403","1707253"
"2025-11-01","openai/gpt-5-mini","0.229163","0","137","247281","85937","65856"
"2025-11-01","deepseek/deepseek-chat-v3.1","0.610816","0","594","1568324","113054","0"
"2025-11-01","google/gemini-2.5-flash-lite-preview-09-2025","0.077952","0","117","337669","110581","2"
"2025-11-01","openai/gpt-5.1","0.676179","0","5","615055","16829","8484"
"2025-11-01","qwen/qwen-2.5-72b-instruct","0.03517","0","69","158938","52142","0"
"2025-11-01","z-ai/glm-4.5-air","0.057742","0","188","519643","10371","1742"
"2025-11-01","openai/gpt-5.1-codex-mini","0.871558","0","81","2722799","110504","34048"
"2025-11-01","x-ai/grok-4.1-fast","0","0","10067","17489473","11791971","8629472"
"2025-11-01","moonshotai/kimi-k2-thinking","0.12316","0","8","227169","2152","1090"
"2025-11-01","google/gemini-2.5-flash-lite","0.048459","0","142","217043","76356","38087"
"2025-11-01","openai/gpt-oss-20b","0.1697","0","1693","262448","948950","888813"
"2025-11-01","mistralai/codestral-2508","0.089739","0","57","147271","50648","0"
"2025-11-01","anthropic/claude-3.5-haiku","0.439816","0","161","407206","28529","0"
"2025-11-01","mistralai/mistral-large-2411","0.67099","0","109","228923","35524","0"
"2025-11-01","openai/gpt-4o","0.258734","0","14","89915","3395","0"
"2025-11-01","google/gemini-2.0-flash-001","0.082127","0","307","379367","82173","0"
"2025-11-01","deepseek/deepseek-v3.1-terminus","0.056129","0","75","157013","15269","0"
"2025-11-01","openai/text-embedding-3-large","0.000018","0","6","150","0","0"
"2025-11-01","mistralai/mistral-nemo","0.014359","0","91","257109","63603","0"
"2025-11-01","openai/gpt-4o-mini","0.686626","0","1919","3477583","413215","0"
"2025-11-01","z-ai/glm-4.6","0.007189","0","4","3523","2676","569"
"2025-11-01","meta-llama/llama-4-maverick","0.059161","0","58","140534","20801","0"
"2025-11-01","google/gemma-3-27b-it","0.000712","0","2","695","1199","0"
"2025-11-01","minimax/minimax-m2","0.067372","0","109","126582","37006","25332"
"2025-11-01","deepseek/deepseek-v3.2-exp","0.006561","0","38","4082","13496","14019"
"2025-11-01","openrouter/polaris-alpha","0","0","48","84931","22743","0"
"2025-11-01","z-ai/glm-4.5-air:free","0","0","13","44385","729","418"
"2025-11-01","x-ai/grok-code-fast-1","0.134296","0","100","275488","76833","67035"
"2025-11-01","deepseek/deepseek-chat","0.005874","0","4","2097","4215","0"
"2025-11-01","x-ai/grok-4-fast","0.128657","0","198","437964","120429","67572"
"2025-10-01","minimax/minimax-m2","1.742369","0","3763","388232","1476396","1631054"
"2025-10-01","anthropic/claude-sonnet-4.5","5.230596","0","29","4508596","24626","4506"
"2025-10-01","anthropic/claude-3-haiku","0.000172","0","4","250","88","0"
"2025-10-01","x-ai/grok-4","40.211685","0","366","17146991","526290","335873"
"2025-10-01","openai/gpt-5-mini","1.455957","0","3570","349723","684971","661248"
"2025-10-01","x-ai/grok-4-fast","70.94385","0","13226","581419335","12529446","7437859"
"2025-10-01","deepseek/deepseek-v3.1-terminus","0.944327","0","1852","170790","903733","1073288"
"2025-10-01","openai/gpt-5","0.238002","0","1","165266","3142","2048"
"2025-10-01","openai/gpt-oss-20b","0.184009","0","5905","917699","792318","844108"
"2025-10-01","openai/gpt-4o-mini","0.000088","0","4","230","94","0"
"2025-10-01","z-ai/glm-4.6","0.027146","0","48","1863","12237","10735"
"2025-10-01","deepseek/deepseek-v3.2-exp","0.413281","0","2094","193782","891947","1039162"
"2025-10-01","deepseek/deepseek-chat-v3-0324","0.083353","0","3369","306631","8815","0"
"2025-10-01","openai/gpt-5-pro","2.23668","0","1","108056","5132","4352"
"2025-10-01","x-ai/grok-code-fast-1","1.620171","0","3358","978676","1047869","1024728"
"2025-10-01","openai/gpt-oss-120b","0.364382","0","7167","1201479","540708","537930"
"2025-10-01","qwen/qwen3-235b-a22b-2507","0.044415","0","3578","361289","7106","0"
"2025-10-01","qwen/qwen3-coder","0.815699","0","27","2654834","3178","0"
"2025-09-01","openai/gpt-4o-mini","0.000004","0","1","8","5","0"
"2025-09-01","openai/gpt-5-mini","27.756336","0","1523","116763634","6430829","5289920"
"2025-08-01","openai/gpt-oss-120b","1.114184","0","47","679526","158577","17142"
"2025-08-01","anthropic/claude-sonnet-4","22.379939","0","223","15975235","380431","55850"
"2025-08-01","qwen/qwen3-235b-a22b-thinking-2507","0.55536","0","24","641419","53597","23252"
"2025-08-01","qwen/qwen3-coder","4.964236","0","254","13680926","53931","0"
"2025-08-01","openai/gpt-oss-20b","0.672601","0","32","230816","84152","21110"
"2025-08-01","openai/gpt-5","5.349019","0","67","1435054","257048","140288"
"2025-08-01","openai/gpt-5-nano","0.156823","0","7","351227","25382","14336"
"2025-08-01","mistralai/codestral-2508","1.225191","0","45","895147","62962","0"
"2025-08-01","openrouter/horizon-alpha","0.1","0","5","150501","10154","0"
"2025-08-01","google/gemini-2.5-pro","16.204767","0","251","11662509","425156","212521"
"2025-08-01","openrouter/horizon-beta","1.176","0","60","744388","122597","0"
"2025-08-01","moonshotai/kimi-k2","0.024605","0","2","2959","2685","0"
"2025-08-01","x-ai/grok-4","13.089515","0","87","2001007","212454","37752"
"2025-08-01","openai/gpt-5-mini","87.468336","0","5022","444068531","21342718","16695488"
"2025-08-01","qwen/qwen3-30b-a3b-instruct-2507","1.489094","0","59","1067371","144558","0"
"2025-08-01","z-ai/glm-4.5","40.927321","0","2030","87202722","1625746","101029"
"2025-08-01","deepseek/deepseek-r1","0.210279","0","8","31076","11285","5378"
"2025-08-01","openai/o4-mini-high","1.49481","0","33","601282","53307","24256"
"2025-08-01","z-ai/glm-4.5-air","1.168807","0","376","5437039","209322","6285"
"2025-08-01","openai/gpt-5-chat","0.521985","0","10","408318","8187","0"
"2025-07-01","z-ai/glm-4.5","12.026711","0","881","33720359","720941","3362"
"2025-02-01","allenai/llama-3.1-tulu-3-405b","0.105155","0","4","14563","3234","0"
"2025-02-01","anthropic/claude-3.5-sonnet","0.188004","0","1","57668","1000","0"
"2025-02-01","meta-llama/llama-3.3-70b-instruct","0.026803","0","5","152516","4501","0"
"2025-02-01","google/gemini-2.0-flash-001","0.059903","0","15","392009","26309","0"
"2025-02-01","google/gemini-2.0-pro-exp-02-05:free","0","0","1","12","13","0"
"2025-02-01","x-ai/grok-2-1212","0.38988","0","5","157485","7491","0"
"2025-02-01","perplexity/sonar-reasoning","0.888523","0","27","544183","41868","25303"
"2025-01-01","openai/o1-mini","1.482153","0","14","138959","93189","14400"
"2025-01-01","anthropic/claude-3.5-sonnet","1.104081","0","50","199317","33742","0"
"2025-01-01","meta-llama/llama-3.3-70b-instruct","0.017253","0","8","59019","6388","0"
"2025-01-01","mistralai/mistral-large-2407","0.044186","0","1","7042","5017","0"
"2025-01-01","deepseek/deepseek-r1","0.514892","0","57","375883","118743","22324"
"2025-01-01","openai/o1-preview","15.02823","0","45","316966","190701","83264"
"2025-01-01","deepseek/deepseek-r1-distill-llama-70b","0","0","1","9239","5427","0"
"2025-01-01","openai/gpt-4o","0.102857","0","3","17135","6786","0"
"2025-01-01","openai/gpt-4o-2024-08-06","0.25144","0","10","55673","11226","0"
"2025-01-01","google/gemini-flash-1.5-exp","0","0","2","9232","2932","0"
"2025-01-01","minimax/minimax-01","0.009082","0","2","25966","3536","0"
"2025-01-01","microsoft/phi-4","0.000615","0","2","5554","1623","0"
"2025-01-01","google/gemini-2.0-flash-thinking-exp-1219:free","0","0","2","8830","9483","0"
"2025-01-01","openai/o1-mini-2024-09-12","0.52266","0","4","48108","33512","11392"
"2025-01-01","openai/o1-preview-2024-09-12","9.09906","0","21","219388","104436","42752"
"2025-01-01","deepseek/deepseek-chat","0.045108","0","20","115368","33840","0"
"2025-01-01","meta-llama/llama-3.1-70b-instruct","0.002102","0","1","16265","501","0"
"2025-01-01","meta-llama/llama-3.1-405b-instruct:free","0","0","1","1747","691","0"
"2025-01-01","google/gemini-pro-1.5","0.285892","0","34","112604","29030","0"
"2025-01-01","x-ai/grok-2-1212","1.560874","0","68","333512","89385","0"
"2025-01-01","google/gemini-flash-1.5","0.002264","0","2","19989","2550","0"
"2025-01-01","anthropic/claude-3.5-haiku-20241022","0.008178","0","1","3243","1396","0"
"2025-01-01","mistralai/codestral-2501","0.178642","0","27","393043","67491","0"